iter	CrossEntropy
0	0.6931471806
1	0.6852405835
2	0.6852405798
3	0.6852405511
4	0.681869723
5	0.6689541791
6	0.6689541791
7	0.660869175
8	0.6608687594
9	0.6608683684
10	0.6608680005
11	0.6586689994
12	0.6526017914
13	0.6507066565
14	0.6467985105
15	0.646797952
16	0.6467974265
17	0.646796932
18	0.6463265016
19	0.6447114032
20	0.6447110069
21	0.6447106341
22	0.6422182069
23	0.6361289952
24	0.6361284725
25	0.6361279808
26	0.6340827654
27	0.6340821398
28	0.6309127113
29	0.6293771196
30	0.6293766098
31	0.6237163523
32	0.6161288508
33	0.6114847547
34	0.6092779899
35	0.602936639
36	0.6029156862
37	0.6020136937
38	0.5989230415
39	0.5978428431
40	0.5895564316
41	0.5895563992
42	0.5886685402
43	0.5886685386
44	0.5886684678
45	0.5886684559
46	0.5886684313
47	0.5871566515
48	0.5859324312
49	0.5846441759
50	0.5840763319
51	0.5773709419
52	0.5763589651
53	0.574604233
54	0.5746035853
55	0.5710272635
56	0.5652300015
57	0.5643973629
58	0.5636196113
59	0.5636186214
60	0.5636176901
61	0.5610428711
62	0.5580819721
63	0.5580808454
64	0.5561579498
65	0.5561568679
66	0.5551521132
67	0.5533817937
68	0.5517190379
69	0.5502405263
70	0.5493784025
71	0.5491527357
72	0.5491515896
73	0.5491505111
74	0.5403487462
75	0.53792398
76	0.5349669067
77	0.5337984724
78	0.5332294171
79	0.5332288165
80	0.5332282514
81	0.5332277196
82	0.5332272193
83	0.5319499075
84	0.5319493364
85	0.5305224821
86	0.5290500177
87	0.5290494778
88	0.5282771408
89	0.5261127758
90	0.5250225456
91	0.5236862885
92	0.5236856563
93	0.5236850614
94	0.5236845017
95	0.5208748033
96	0.5205352735
97	0.5168785579
98	0.5168779599
99	0.5168773971
100	0.5135135014
101	0.513279841
102	0.5122749091
103	0.5122743193
104	0.5105770171
105	0.5105764741
106	0.5104017879
107	0.508994795
108	0.5079875627
109	0.5075813849
110	0.5075808894
111	0.5073364812
112	0.5073360093
113	0.5066479723
114	0.5052291074
115	0.5052286888
116	0.5029929594
117	0.5029925049
118	0.5029853438
119	0.5027835151
120	0.5027831108
121	0.5027827303
122	0.5025936811
123	0.5025933214
124	0.5011593574
125	0.5011590849
126	0.5007328635
127	0.5007326023
128	0.5007324366
129	0.5006392089
130	0.5006390184
131	0.5006388539
132	0.5005963452
133	0.4969089984
134	0.4950683054
135	0.4950679723
136	0.4949276424
137	0.4922558256
138	0.4922553847
139	0.4921857057
140	0.4900581119
141	0.4900577135
142	0.4894308358
143	0.4894304572
144	0.4880267822
145	0.4880264311
146	0.4880261929
147	0.4880258765
148	0.4876407495
149	0.4876404646
150	0.4872692327
151	0.4872690236
152	0.4872687791
153	0.487268549
154	0.4869195166
155	0.4867192237
156	0.4867190255
157	0.4867079866
158	0.486707897
159	0.4867006187
160	0.4866113912
161	0.4864269182
162	0.486346401
163	0.4857251214
164	0.4857250864
165	0.4857250592
166	0.4856472284
167	0.4853002155
168	0.4845422834
169	0.4806986223
170	0.4806986221
171	0.4806986202
172	0.4796318028
173	0.4796318008
174	0.4779944507
175	0.4745418858
176	0.4744796169
177	0.4744168483
178	0.4744167675
179	0.47441668
180	0.4710701028
181	0.4707211343
182	0.4707211205
183	0.4702467771
184	0.4702022494
185	0.4701895602
186	0.4692251495
187	0.4691859645
188	0.4691859642
189	0.4691859529
190	0.4675622108
191	0.4670861133
192	0.4665363041
193	0.4665363034
194	0.4657771208
195	0.4657771192
196	0.4649194593
197	0.4648875067
198	0.4638697994
199	0.4638080858
200	0.4634585917
201	0.4634585916
202	0.4631419676
203	0.4631293545
204	0.4598512161
205	0.4556266793
206	0.455567679
207	0.4554077816
208	0.4550205832
209	0.4545918277
210	0.4543138209
211	0.4543137852
212	0.454313668
213	0.4524570606
214	0.4524570154
215	0.4520104008
